class1,duration,flowBytesPerSecond,flowPktsPerSecond,max_active,max_biat,max_fiat,max_flowiat,max_idle,mean_active,mean_biat,mean_fiat,mean_flowiat,mean_idle,min_active,min_biat,min_fiat,min_flowiat,min_idle,std_active,std_biat,std_fiat,std_flowiat,std_idle,total_biat,total_fiat
Non-VPN,14987138.0,12255.9090334659,104.5563202261,-1.0,19154.9539641944,19135.748403576,21405.0,-1.0,0.0,3639.7648974572,3360.6069720373,9570.3307790549,0.0,-1.0,25283.0,27297.0,44.0,-1.0,0.0,,,7224.8799995631,0.0,2355.0,185.0
Non-VPN,14975215.0,7911.0717275178,36.1263594546,-1.0,320148.933333333,30314.2004048583,77491.0,-1.0,0.0,164539.88806074,12199.7180639587,27731.8796296296,0.0,-1.0,481974.0,77491.0,75.0,-1.0,0.0,,,13877.188305342,0.0,13911.0,75.0
Non-VPN,14997949.0,12282.3460727864,104.6143042625,-1.0,19105.6675159236,19156.4974424552,21111.0,-1.0,0.0,4184.4384679876,3912.8823853335,9565.018494898,0.0,-1.0,27023.0,26429.0,39.0,-1.0,0.0,,,7529.093883258,0.0,409.0,57.0
Non-VPN,14996220.0,7995.6148949535,36.3424916412,-1.0,331031.555555556,30112.8915662651,96013.0,-1.0,0.0,157791.966264281,12606.3704514042,27566.5808823529,0.0,-1.0,483292.0,96013.0,68.0,-1.0,0.0,,,14310.4823340266,0.0,3918.0,68.0
Non-VPN,14995154.0,12385.134557471,104.8338683284,-1.0,19118.0191326531,19077.8040712468,21436.0,-1.0,0.0,4046.6220145796,3424.232007592,9544.9739019733,0.0,-1.0,26715.0,28331.0,33.0,-1.0,0.0,,,7777.0746325391,0.0,33.0,50.0
Non-VPN,14980164.0,7928.0840984117,36.3146892117,-1.0,309576.127659574,30262.9575757576,72129.0,-1.0,0.0,158062.64831583,12017.4456144125,27587.7790055249,0.0,-1.0,484107.0,72129.0,61.0,-1.0,0.0,,,13780.7913484342,0.0,13174.0,61.0
Non-VPN,14984727.0,12353.6451481565,104.7066122726,-1.0,19137.3358876117,19107.5892857143,22876.0,-1.0,0.0,3884.1196423368,3705.3917786649,9556.5860969388,0.0,-1.0,26501.0,35313.0,11.0,-1.0,0.0,,,7908.8770006378,0.0,1930.0,124.0
Non-VPN,14991305.0,7902.7142733738,36.1542907706,-1.0,320336.108695652,30324.7165991903,88707.0,-1.0,0.0,150377.435787381,13074.6432663472,27710.3604436229,0.0,-1.0,484072.0,88707.0,65.0,-1.0,0.0,,,14760.7331718258,0.0,1996.0,65.0
Non-VPN,14999828.0,12312.4078489433,104.534531996,-1.0,19132.4336734694,19155.5613810742,22048.0,-1.0,0.0,3870.1779768975,3749.0701425991,9572.321633695,0.0,-1.0,25158.0,29105.0,24.0,-1.0,0.0,,,8171.0442912153,0.0,24.0,80.0
Non-VPN,14993483.0,6154.2071311916,36.2824301732,-1.0,325036.244444444,30167.9738430583,68350.0,-1.0,0.0,159803.151386416,12152.1454669917,27612.3075506446,0.0,-1.0,482711.0,68350.0,39.0,-1.0,0.0,,,13891.2301031902,0.0,7075.0,39.0
Non-VPN,14997259.0,12253.1057175181,104.4857596978,-1.0,19152.2020460358,19131.5363984674,21701.0,-1.0,0.0,3741.978732046,3821.979249455,9576.7937420179,0.0,-1.0,25648.0,41341.0,2.0,-1.0,0.0,,,8006.7774354332,0.0,39.0,69.0
Non-VPN,14967082.0,7928.1318830217,36.3464301191,-1.0,331008.933333333,30114.8531187123,100630.0,-1.0,0.0,151869.257430962,13681.8110602973,27563.6869244936,0.0,-1.0,483345.0,100630.0,64.0,-1.0,0.0,,,14932.7673248279,0.0,21166.0,90.0
Non-VPN,14999580.0,12359.4793987565,104.6695974154,-1.0,19104.7130102041,19132.1173469388,21442.0,-1.0,0.0,3691.0214207262,3592.2184702404,9559.9617590822,0.0,-1.0,26241.0,27400.0,3.0,-1.0,0.0,,,8166.8922227648,0.0,45.0,76.0
Non-VPN,14981766.0,7460.8026850773,36.1773104719,-1.0,327429.704545455,30205.1733870968,68493.0,-1.0,0.0,144076.092102375,12434.8670263825,27692.7282809612,0.0,-1.0,482161.0,68493.0,41.0,-1.0,0.0,,,14050.1026574645,0.0,57884.0,41.0
Non-VPN,14999159.0,12360.6263524508,104.6725353068,-1.0,19130.0816326531,19130.8520408163,23134.0,-1.0,0.0,4021.2746569826,3841.1558498559,9559.6934353091,0.0,-1.0,26872.0,37993.0,34.0,-1.0,0.0,,,8523.1697217768,0.0,138.0,65.0
Non-VPN,14982658.0,7392.4800259073,36.1751566378,-1.0,320431.622222222,30267.995959596,71560.0,-1.0,0.0,156408.065885478,12212.9398871123,27694.3770794824,0.0,-1.0,486663.0,71560.0,39.0,-1.0,0.0,,,13827.7220346233,0.0,12048.0,39.0
Non-VPN,14999193.0,12340.4639169587,104.4722872757,-1.0,19159.7020460358,19155.650063857,21814.0,-1.0,0.0,3809.9170272986,3412.9109488312,9578.0287356322,0.0,-1.0,26243.0,33419.0,2.0,-1.0,0.0,,,8564.2468705961,0.0,39.0,61.0
Non-VPN,14989354.0,7233.4004520809,36.359138626,-1.0,328359.0,30099.1044176707,75202.0,-1.0,0.0,171896.609620765,12411.7528008204,27553.9595588235,0.0,-1.0,483848.0,75202.0,84.0,-1.0,0.0,,,13913.6386395411,0.0,669.0,97.0
Non-VPN,14999787.0,12366.3089349202,104.6681529544,-1.0,19103.4987244898,19105.7474489796,23670.0,-1.0,0.0,3930.1263140245,3423.1863195768,9560.0936902486,0.0,-1.0,25564.0,27646.0,7.0,-1.0,0.0,,,8528.3484102895,0.0,51.0,63.0
Non-VPN,14978219.0,7911.5547716321,36.1858776401,-1.0,331049.266666667,30259.0282828283,92850.0,-1.0,0.0,169342.180050268,13025.6459316398,27686.1719038817,0.0,-1.0,488840.0,92850.0,47.0,-1.0,0.0,,,14608.1659961268,0.0,5466.0,47.0
Non-VPN,14998435.0,12319.4186593468,104.7442616513,-1.0,19081.8193384224,19131.0498084291,22424.0,-1.0,0.0,3972.3295129781,3467.5795530305,9553.1433121019,0.0,-1.0,26957.0,35776.0,5.0,-1.0,0.0,,,8542.3726966554,0.0,37.0,252.0
Non-VPN,14960380.0,7918.9164981104,36.1621830462,-1.0,327348.6,30284.1700404858,71990.0,-1.0,0.0,177600.175965553,12173.2783171689,27704.4074074074,0.0,-1.0,483386.0,71990.0,63.0,-1.0,0.0,,,13779.1908337256,0.0,3977.0,63.0
Non-VPN,14980110.0,12291.2982614947,104.6053733918,-1.0,19151.3708439898,19131.6858237548,23286.0,-1.0,0.0,3820.8721767895,3658.7697360902,9565.8429118774,0.0,-1.0,26981.0,30194.0,0.0,-1.0,0.0,,,8611.5902992801,0.0,36.0,60.0
Non-VPN,14995400.0,7936.5672139456,36.4111660909,-1.0,313528.195652174,30111.2449799197,77672.0,-1.0,0.0,152741.311374948,12793.8128876205,27514.495412844,0.0,-1.0,487312.0,77672.0,70.0,-1.0,0.0,,,14584.9135837318,0.0,10851.0,70.0
Non-VPN,14996598.0,12322.4614009124,104.6237286617,-1.0,19128.3137755102,19134.0357598978,22037.0,-1.0,0.0,4058.0889055726,3728.7332647414,9564.1568877551,0.0,-1.0,26301.0,26535.0,28.0,-1.0,0.0,,,8449.3972665945,0.0,74.0,47.0
Non-VPN,14989085.0,7920.1632387834,36.159645502,-1.0,320488.711111111,30280.9797979798,90423.0,-1.0,0.0,162860.897507815,12325.4630990018,27706.2569316081,0.0,-1.0,485354.0,90423.0,51.0,-1.0,0.0,,,14005.9219296886,0.0,51233.0,51.0
Non-VPN,14996379.0,12296.6350743736,104.6252565369,-1.0,19129.3001277139,19119.1262755102,22743.0,-1.0,0.0,3866.0496206592,3958.7769621939,9564.0172193878,0.0,-1.0,25755.0,30255.0,34.0,-1.0,0.0,,,5676.1089882658,0.0,34.0,141.0
Non-VPN,14971924.0,7914.8144219808,36.2010921242,-1.0,331094.4,30246.3111111111,94287.0,-1.0,0.0,153847.601977781,13052.0243598012,27674.5360443623,0.0,-1.0,485637.0,94287.0,34.0,-1.0,0.0,,,14592.6805461294,0.0,35371.0,34.0
Non-VPN,14998761.0,12352.3536377438,104.6753128475,-1.0,19121.2155612245,19130.0,19682.0,-1.0,0.0,4132.5191105045,3540.8703396838,9559.4397705545,0.0,-1.0,25763.0,41175.0,33.0,-1.0,0.0,,,2559.2499378951,0.0,33.0,124.0
Non-VPN,14965583.0,7922.7117313104,36.2164307264,-1.0,329006.136363636,30172.5463709677,77372.0,-1.0,0.0,170335.398040412,11946.9521979485,27662.8151571165,0.0,-1.0,484122.0,77372.0,58.0,-1.0,0.0,,,13674.8719932065,0.0,15791.0,58.0
Non-VPN,14999534.0,12272.9812806185,104.6032496743,-1.0,19132.5683269476,19132.0586734694,22893.0,-1.0,0.0,3918.7083525436,3474.0226307855,9566.0293367347,0.0,-1.0,26000.0,32186.0,31.0,-1.0,0.0,,,2493.2010777968,0.0,31.0,65.0
Non-VPN,14978944.0,8002.9673653897,36.3844073387,-1.0,315351.97826087,30138.7203219316,99544.0,-1.0,0.0,161781.993696317,12768.276276729,27534.8235294118,0.0,-1.0,482834.0,99544.0,125.0,-1.0,0.0,,,14272.5696765291,0.0,8233.0,125.0
Non-VPN,14994958.0,12297.200165549,104.5684822858,-1.0,19126.2219387755,19158.3836317136,18996.0,-1.0,0.0,3908.394936714,3365.3805731201,9569.2137843012,0.0,-1.0,28104.0,27933.0,45.0,-1.0,0.0,,,2435.4399279484,0.0,45.0,79.0
Non-VPN,14974892.0,7911.2423648865,36.1271386799,-1.0,327766.181818182,30252.3070707071,69822.0,-1.0,0.0,151202.451888384,11850.6846104983,27731.2814814815,0.0,-1.0,485883.0,69822.0,39.0,-1.0,0.0,,,13529.1695932034,0.0,456.0,39.0
Non-VPN,14999960.0,12277.2327392873,104.6002789341,-1.0,19131.816091954,19132.6020408163,20291.0,-1.0,0.0,3881.419851297,3689.3789211121,9566.3010204082,0.0,-1.0,25417.0,30745.0,46.0,-1.0,0.0,,,2517.4986619719,0.0,46.0,84.0
Non-VPN,14974378.0,7962.4676230292,36.5290631771,-1.0,316902.382978723,30069.0321285141,76827.0,-1.0,0.0,159140.784687381,12119.6206259799,27425.6007326007,0.0,-1.0,484036.0,76827.0,55.0,-1.0,0.0,,,13873.4859861932,0.0,31614.0,55.0
Non-VPN,14999067.0,12279.6304596813,104.5398357111,-1.0,19155.8965517241,19133.9182630907,19051.0,-1.0,0.0,3830.3735735656,3827.2825260531,9571.8359923421,0.0,-1.0,25371.0,42896.0,36.0,-1.0,0.0,,,2525.1102323915,0.0,36.0,66.0
Non-VPN,14978992.0,7896.1922137351,36.0504899128,-1.0,338153.395348837,30260.5898989899,73462.0,-1.0,0.0,177593.660306147,12094.235467696,27790.3376623377,0.0,-1.0,483577.0,73462.0,45.0,-1.0,0.0,,,13875.4057715907,0.0,2590.0,45.0
Non-VPN,14999626.0,12297.7732911474,104.7359447496,-1.0,19108.1658163265,19107.8038216561,17737.0,-1.0,0.0,4011.3892048837,3563.7915848418,9553.901910828,0.0,-1.0,26054.0,26582.0,34.0,-1.0,0.0,,,2550.5163860475,0.0,34.0,63.0
Non-VPN,14994215.0,7923.9893518934,36.2139665198,-1.0,332586.318181818,30169.4466800805,74177.0,-1.0,0.0,167745.848445806,12213.5750010438,27664.6033210332,0.0,-1.0,486254.0,91230.0,66.0,-1.0,0.0,,,13636.1205311464,0.0,25974.0,66.0
Non-VPN,14991953.0,12256.9087563175,104.5227396324,-1.0,19135.1392081737,19155.7020460358,20182.0,-1.0,0.0,3982.4099716933,3250.643704317,9573.4054916986,0.0,-1.0,25164.0,30921.0,78.0,-1.0,0.0,,,2578.9819764458,0.0,78.0,142.0
Non-VPN,4009751.0,140.1583290334,2.9927045345,2005162.0,801930.8,801903.8,2004379.0,2004379.0,2004518.0,1097297.56316459,1097762.74084132,364522.818181818,2003912.5,2003874.0,2004379.0,2005165.0,57.0,2003446.0,910.7529851722,,,810535.993474974,659.7298689615,331.0,154.0
Non-VPN,8272911.0,371.8159182421,5.8020689453,2003627.0,288368.0,459606.166666667,1029669.0,1029669.0,1213655.6,457870.159057533,469192.702856695,176019.382978723,1012422.4,1002717.0,1029669.0,1030079.0,1.0,1001616.0,441785.036352014,,,360925.668878983,14330.3368435637,1.0,62.0
VPN,10002251.0,6.1986046941,0.1999549901,10002251.0,0.0,10000000.0,10002251.0,10002251.0,10000000.0,0.0,0.0,10000000.0,10000000.0,10002251.0,-1.0,10002251.0,10002251.0,10002251.0,0.0,,,0.0,0.0,-1.0,10002251.0
VPN,13866879.0,207.4006703311,2.0913141306,12338000.0,990391.142857143,1066633.53846154,12298122.0,12298122.0,6931705.5,3279767.86665429,3412108.64583955,495245.678571429,6907737.0,1525411.0,12298983.0,12336222.0,30.0,1517352.0,7645655.00408301,,,2330793.33944139,7623155.57341243,30.0,96.0
VPN,13422181.0,132.0202730093,1.3410637213,13420570.0,1917438.85714286,1491322.44444444,13380373.0,13380373.0,13400000.0,5071874.48699968,4458433.01304919,789540.058823529,13400000.0,13420570.0,13419369.0,13380426.0,23.0,13380373.0,0.0,,,3244596.9877354,0.0,43.0,60.0
VPN,14998045.0,8205.6027968979,65.208498841,2884684.0,36454.8175182482,26545.2123893805,2870822.0,2870822.0,2884684.0,140730.582978606,120242.734331741,15351.1207778915,2870822.0,2884684.0,2872100.0,2872176.0,8.0,2870822.0,0.0,,,91927.8684629428,0.0,78.0,33.0
VPN,14999869.0,12077.638811379,100.8008803277,-1.0,19841.0965608466,19847.0291777188,21268.0,-1.0,0.0,1833.1007035455,2196.1023430477,9927.1138318994,0.0,-1.0,23083.0,28523.0,0.0,-1.0,0.0,,,7527.403463013,0.0,155.0,46.0
VPN,14998553.0,12525.274938189,101.0097440733,-1.0,19814.6018518519,19813.1479524439,20872.0,-1.0,0.0,2020.6836827925,2270.626392618,9906.5739762219,0.0,-1.0,24358.0,28208.0,9.0,-1.0,0.0,,,7474.9449199745,0.0,85.0,433.0
VPN,14999752.0,12312.2035617656,100.8683343565,-1.0,19840.9417989418,19858.2874172185,20543.0,-1.0,0.0,1854.0032013943,2085.8584400363,9920.4708994709,0.0,-1.0,23073.0,27506.0,10.0,-1.0,0.0,,,7438.1473564618,0.0,177.0,51.0
VPN,14986444.0,12250.1375242853,101.9588102421,-1.0,19629.7916120577,19641.4731323722,21036.0,-1.0,0.0,2732.2532505762,2899.2154394428,9814.3051735429,0.0,-1.0,32585.0,28530.0,1.0,-1.0,0.0,,,7512.1591765157,0.0,103.0,50.0
VPN,14981409.0,12026.3054029164,101.5258311151,-1.0,19737.8498023715,19707.9828947368,20541.0,-1.0,0.0,2319.6799643575,2573.3510651642,9856.190131579,0.0,-1.0,23144.0,22638.0,4.0,-1.0,0.0,,,7357.7137750409,0.0,69.0,55.0
VPN,14999202.0,12341.5232357028,100.6053522047,-1.0,19892.8408488064,19897.3081009296,20942.0,-1.0,0.0,1592.8365778533,1983.0473653158,9946.4204244032,0.0,-1.0,22924.0,27196.0,23.0,-1.0,0.0,,,7121.6200372652,0.0,3595.0,1541.0
VPN,14994192.0,11004.794389721,100.4388899382,-1.0,19891.208499336,19946.8668442077,20595.0,-1.0,0.0,1616.8634839154,1739.6774136544,9962.9182724253,0.0,-1.0,22613.0,28934.0,5.0,-1.0,0.0,,,7333.966756964,0.0,1548.0,7168.0
VPN,11700336.0,507.8486634914,5.1280578609,6028889.0,389960.1,417869.142857143,2963970.0,2963970.0,3899713.66666667,761568.266774367,788266.73967872,198310.779661017,2191473.0,2640708.0,2963970.0,2965129.0,20.0,1010147.0,1854141.05687238,,,570985.308579451,1039091.88345521,37.0,80.0
